,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
30444,2008,11,11,2,1900.0,1730,2236.0,2120,WN,3134,N270WN,156.0,170.0,143.0,76.0,90.0,MDW,RSW,1105,3.0,10.0,0,N,0,76.0,0.0,0.0,0.0,0.0
78636,2008,3,30,7,1926.0,1905,2223.0,2200,WN,493,N508SW,177.0,175.0,144.0,23.0,21.0,FLL,PHL,992,6.0,27.0,0,N,0,6.0,0.0,2.0,0.0,15.0
76038,2008,3,8,6,1213.0,1130,1327.0,1255,WN,853,N316SW,74.0,85.0,61.0,32.0,43.0,LAX,SFO,337,8.0,5.0,0,N,0,0.0,0.0,2.0,0.0,30.0
23070,2008,4,17,4,2031.0,1925,2108.0,2015,XE,2016,N13935,37.0,50.0,24.0,53.0,66.0,IAH,LCH,127,4.0,9.0,0,N,0,7.0,0.0,0.0,0.0,46.0
18632,2008,11,25,2,1512.0,1505,1807.0,1817,EV,5416,N851AS,115.0,132.0,97.0,-10.0,7.0,ATW,ATL,765,6.0,12.0,0,N,0,,,,,
26530,2008,4,15,2,1802.0,1739,2026.0,2003,UA,645,N436UA,264.0,264.0,233.0,23.0,23.0,ORD,SNA,1726,6.0,25.0,0,N,0,0.0,0.0,0.0,0.0,23.0
115322,2008,7,15,2,1702.0,1654,1820.0,1823,OO,4043,N431SW,78.0,89.0,68.0,-3.0,8.0,GTF,SLC,463,4.0,6.0,0,N,0,,,,,
190531,2008,7,1,2,1046.0,1033,1203.0,1145,XE,2263,N16541,77.0,72.0,53.0,18.0,13.0,BTV,EWR,266,8.0,16.0,0,N,0,0.0,0.0,5.0,0.0,13.0
164361,2008,7,30,3,2115.0,1915,2159.0,2007,XE,2016,N16981,44.0,52.0,24.0,112.0,120.0,IAH,LCH,127,3.0,17.0,0,N,0,112.0,0.0,0.0,0.0,0.0
178703,2008,7,8,2,951.0,935,1103.0,1040,MQ,3760,N931AE,72.0,65.0,46.0,23.0,16.0,HOU,DFW,247,3.0,23.0,0,N,0,6.0,0.0,7.0,0.0,10.0
94404,2008,2,12,2,1940.0,1805,2053.0,1926,OO,5980,N941SW,133.0,141.0,105.0,87.0,95.0,MLI,DEN,751,9.0,19.0,0,N,0,87.0,0.0,0.0,0.0,0.0
133419,2008,12,16,2,1213.0,1205,1745.0,1743,NW,198,N360NB,212.0,218.0,187.0,2.0,8.0,SJC,MSP,1576,7.0,18.0,0,N,0,,,,,
154465,2008,9,11,4,2003.0,1953,2136.0,2132,YV,2752,N97325,93.0,99.0,71.0,4.0,10.0,PHX,SBP,509,4.0,18.0,0,N,0,,,,,
2265,2008,1,26,6,1958.0,1950,2115.0,2110,WN,658,N670SW,77.0,80.0,64.0,5.0,8.0,SMF,LAS,397,3.0,10.0,0,N,0,,,,,
143762,2008,2,4,1,1143.0,1131,1326.0,1235,OO,5958,N909SW,103.0,64.0,56.0,51.0,12.0,DEN,DRO,251,6.0,41.0,0,N,0,0.0,51.0,0.0,0.0,0.0
71876,2008,1,5,6,801.0,710,1000.0,835,UA,1153,N496UA,119.0,85.0,61.0,85.0,51.0,SFO,LAX,337,23.0,35.0,0,N,0,0.0,0.0,34.0,0.0,51.0
140269,2008,11,26,3,1512.0,1505,1750.0,1749,B6,44,N703JB,158.0,164.0,137.0,1.0,7.0,MCO,JFK,944,10.0,11.0,0,N,0,,,,,
11153,2008,5,5,1,1608.0,1458,1740.0,1650,EV,4590,N379CA,92.0,112.0,77.0,50.0,70.0,ATL,EYW,646,2.0,13.0,0,N,0,50.0,0.0,0.0,0.0,0.0
116422,2008,6,17,2,1931.0,1830,2241.0,2143,AA,722,N5DMAA,190.0,193.0,160.0,58.0,61.0,MIA,BOS,1258,6.0,24.0,0,N,0,5.0,0.0,0.0,0.0,53.0
6635,2008,11,12,3,1107.0,1100,1305.0,1255,DL,944,N670DN,118.0,115.0,86.0,10.0,7.0,ATL,MIA,595,6.0,26.0,0,N,0,,,,,
184620,2008,10,14,2,1453.0,1445,1740.0,1740,AA,753,N5DLAA,227.0,235.0,194.0,0.0,8.0,LGA,DFW,1389,6.0,27.0,0,N,0,,,,,
53673,2008,3,31,1,1327.0,1316,1433.0,1430,US,16,N665AW,66.0,74.0,44.0,3.0,11.0,LAS,PHX,256,6.0,16.0,0,N,0,,,,,
112465,2008,2,8,5,1834.0,1826,2024.0,2010,XE,2608,N11137,110.0,104.0,92.0,14.0,8.0,XNA,IAH,438,7.0,11.0,0,N,0,,,,,
196262,2008,7,31,4,1311.0,1257,1641.0,1641,CO,1092,N17620,150.0,164.0,126.0,0.0,14.0,IAH,CMH,986,4.0,20.0,0,N,0,,,,,
180243,2008,12,19,5,1945.0,1935,2100.0,2045,WN,1505,N645SW,75.0,70.0,53.0,15.0,10.0,LAX,SJC,308,14.0,8.0,0,N,0,0.0,0.0,13.0,0.0,2.0
178339,2008,10,24,5,857.0,822,1026.0,944,YV,7119,N570ML,89.0,82.0,68.0,42.0,35.0,IAD,CAE,401,4.0,17.0,0,N,0,42.0,0.0,0.0,0.0,0.0
107742,2008,1,18,5,1636.0,1630,1755.0,1730,WN,41,N621SW,79.0,60.0,54.0,25.0,6.0,DAL,HOU,239,3.0,22.0,0,N,0,6.0,0.0,19.0,0.0,0.0
158970,2008,6,23,1,937.0,813,1517.0,1404,UA,1675,N497UA,280.0,291.0,264.0,73.0,84.0,ORD,SJU,2072,4.0,12.0,0,N,0,73.0,0.0,0.0,0.0,0.0
189237,2008,4,13,7,1054.0,1047,1632.0,1617,UA,478,N835UA,218.0,210.0,181.0,15.0,7.0,SFO,DFW,1464,6.0,31.0,0,N,0,7.0,0.0,8.0,0.0,0.0
104323,2008,4,30,3,1814.0,1808,2137.0,2139,FL,829,N944AT,143.0,151.0,124.0,-2.0,6.0,MDW,MCO,989,9.0,10.0,0,N,0,,,,,
202340,2008,1,2,3,1509.0,1500,1651.0,1640,XE,1210,N16961,102.0,100.0,51.0,11.0,9.0,DCA,EWR,199,6.0,45.0,0,N,0,,,,,
91771,2008,2,26,2,1406.0,1015,1543.0,1156,EV,4919,N834AS,97.0,101.0,66.0,227.0,231.0,ATL,PHF,508,3.0,28.0,0,N,0,227.0,0.0,0.0,0.0,0.0
66519,2008,7,13,7,2141.0,1555,2321.0,1705,WN,283,N218WN,100.0,70.0,84.0,376.0,346.0,ISP,BWI,220,8.0,8.0,0,N,0,0.0,292.0,30.0,0.0,54.0
77802,2008,12,17,3,733.0,700,1001.0,840,WN,1553,N908WN,208.0,160.0,157.0,81.0,33.0,MDW,DEN,895,16.0,35.0,0,N,0,33.0,0.0,48.0,0.0,0.0
19599,2008,6,8,7,1718.0,1710,1737.0,1740,WN,2172,N627SW,79.0,90.0,69.0,-3.0,8.0,IND,MCI,451,3.0,7.0,0,N,0,,,,,
196497,2008,4,28,1,809.0,800,856.0,854,FL,610,N989AT,107.0,114.0,81.0,2.0,9.0,ATL,MDW,590,9.0,17.0,0,N,0,,,,,
201565,2008,1,13,7,1713.0,1535,1840.0,1707,DL,1647,N827MH,87.0,92.0,63.0,93.0,98.0,ATL,MCO,403,10.0,14.0,0,N,0,81.0,0.0,0.0,0.0,12.0
32300,2008,6,23,1,954.0,937,1332.0,1320,DL,419,N121DE,218.0,223.0,201.0,12.0,17.0,ATL,SJU,1547,4.0,13.0,0,N,0,,,,,
99977,2008,12,30,2,2312.0,2207,44.0,2349,US,1692,N763US,92.0,102.0,76.0,55.0,65.0,CLT,SYR,603,3.0,13.0,0,N,0,0.0,0.0,0.0,0.0,55.0
203241,2008,1,11,5,1044.0,1030,1145.0,1140,WN,2018,N634SW,61.0,70.0,50.0,5.0,14.0,RNO,LAS,345,4.0,7.0,0,N,0,,,,,
126587,2008,3,27,4,1039.0,1000,1219.0,1135,XE,2323,N14952,100.0,95.0,80.0,44.0,39.0,ALB,CLE,424,6.0,14.0,0,N,0,0.0,0.0,5.0,0.0,39.0
82390,2008,8,13,3,1508.0,1501,2312.0,2320,UA,294,N848UA,304.0,319.0,280.0,-8.0,7.0,SFO,BWI,2457,6.0,18.0,0,N,0,,,,,
41158,2008,3,30,7,2046.0,1955,2211.0,2115,WN,452,N790SW,85.0,80.0,70.0,56.0,51.0,BNA,MDW,395,3.0,12.0,0,N,0,51.0,0.0,5.0,0.0,0.0
78022,2008,3,20,4,1344.0,1250,1449.0,1400,MQ,3260,N320AE,65.0,70.0,46.0,49.0,54.0,CLL,DFW,164,8.0,11.0,0,N,0,0.0,0.0,0.0,0.0,49.0
172490,2008,3,3,1,2058.0,2010,2313.0,2240,WN,66,N355SW,75.0,90.0,63.0,33.0,48.0,BNA,DTW,457,5.0,7.0,0,N,0,0.0,4.0,0.0,0.0,29.0
10401,2008,10,13,1,1730.0,1700,1747.0,1715,WN,561,N217JC,77.0,75.0,57.0,32.0,30.0,ABQ,PHX,328,6.0,14.0,0,N,0,0.0,0.0,2.0,0.0,30.0
155852,2008,8,3,7,1957.0,1948,2105.0,2101,DL,823,N627DL,188.0,193.0,167.0,4.0,9.0,ATL,ABQ,1269,7.0,14.0,0,N,0,,,,,
41290,2008,7,9,3,1332.0,1250,1446.0,1410,WN,2275,N613SW,74.0,80.0,62.0,36.0,42.0,OMA,MDW,423,4.0,8.0,0,N,0,0.0,0.0,0.0,0.0,36.0
9619,2008,9,29,1,1955.0,1935,2157.0,2137,OO,5986,N970SW,62.0,62.0,40.0,20.0,20.0,ORD,MBS,222,5.0,17.0,0,N,0,0.0,0.0,0.0,0.0,20.0
152664,2008,8,7,4,1908.0,1705,2210.0,2003,CO,1152,N11651,182.0,178.0,107.0,127.0,123.0,ATL,EWR,745,49.0,26.0,0,N,0,0.0,0.0,127.0,0.0,0.0
47584,2008,4,19,6,1452.0,1430,1640.0,1615,DL,1491,N139DL,108.0,105.0,80.0,25.0,22.0,ATL,FLL,581,4.0,24.0,0,N,0,20.0,0.0,3.0,0.0,2.0
168091,2008,11,19,3,1630.0,1600,1835.0,1800,OH,6742,N549CA,125.0,120.0,76.0,35.0,30.0,RDU,JFK,426,20.0,29.0,0,N,0,0.0,0.0,5.0,0.0,30.0
26639,2008,6,29,7,2006.0,1810,2132.0,1910,CO,778,N59302,86.0,60.0,41.0,142.0,116.0,SAT,IAH,191,26.0,19.0,0,N,0,0.0,0.0,83.0,0.0,59.0
128546,2008,3,18,2,2350.0,1915,51.0,2031,CO,415,N37252,61.0,76.0,39.0,260.0,275.0,IAH,DFW,224,7.0,15.0,0,N,0,0.0,260.0,0.0,0.0,0.0
69435,2008,3,9,7,14.0,2340,550.0,510,AA,1212,N3AAAA,216.0,210.0,195.0,40.0,34.0,SEA,DFW,1660,6.0,15.0,0,N,0,12.0,0.0,6.0,0.0,22.0
68627,2008,12,25,4,808.0,800,1042.0,1054,FL,341,N311AT,154.0,174.0,137.0,-12.0,8.0,LGA,MCO,950,5.0,12.0,0,N,0,,,,,
105285,2008,7,21,1,1640.0,1610,1841.0,1822,DL,1795,N991DL,121.0,132.0,102.0,19.0,30.0,BUF,ATL,712,7.0,12.0,0,N,0,0.0,0.0,0.0,0.0,19.0
46892,2008,2,14,4,1959.0,1940,2102.0,2050,9E,5710,87719E,63.0,70.0,41.0,12.0,19.0,MEM,EVV,247,8.0,14.0,0,N,0,,,,,
199789,2008,7,23,3,2209.0,2155,2306.0,2300,WN,266,N230WN,57.0,65.0,43.0,6.0,14.0,SLC,BOI,291,4.0,10.0,0,N,0,,,,,
85150,2008,5,26,1,1202.0,1044,1305.0,1150,OO,5446,N223SW,63.0,66.0,46.0,75.0,78.0,SFO,SBP,191,1.0,16.0,0,N,0,75.0,0.0,0.0,0.0,0.0
46839,2008,2,20,3,745.0,735,1017.0,1008,OH,5125,N936CA,92.0,93.0,79.0,9.0,10.0,SGF,CVG,491,1.0,12.0,0,N,0,,,,,
202961,2008,6,12,4,1711.0,1645,1845.0,1815,OO,1975,N817SK,94.0,90.0,73.0,30.0,26.0,CVG,ATL,373,8.0,13.0,0,N,0,0.0,8.0,4.0,0.0,18.0
44804,2008,5,26,1,1906.0,1845,2115.0,2029,XE,2655,N16571,129.0,104.0,80.0,46.0,21.0,IAH,BHM,562,4.0,45.0,0,N,0,21.0,0.0,25.0,0.0,0.0
36685,2008,1,21,1,906.0,859,1121.0,1109,NW,1221,N332NW,135.0,130.0,95.0,12.0,7.0,LGA,DTW,501,7.0,33.0,0,N,0,,,,,
197028,2008,8,6,3,2338.0,2155,54.0,2321,UA,387,N379UA,76.0,86.0,60.0,93.0,103.0,DEN,SLC,391,3.0,13.0,0,N,0,29.0,0.0,0.0,0.0,64.0
128135,2008,2,17,7,102.0,2135,123.0,2159,DL,1561,N924DL,81.0,84.0,62.0,204.0,207.0,ATL,JAN,341,3.0,16.0,0,N,0,0.0,0.0,0.0,0.0,204.0
89010,2008,7,31,4,1732.0,1530,1808.0,1555,WN,717,N243WN,96.0,85.0,62.0,133.0,122.0,PIT,MDW,402,16.0,18.0,0,N,0,0.0,94.0,11.0,0.0,28.0
73384,2008,8,11,1,1857.0,1810,2040.0,2005,OO,6686,N955SW,103.0,115.0,84.0,35.0,47.0,BOI,DEN,649,9.0,10.0,0,N,0,0.0,0.0,0.0,0.0,35.0
57835,2008,2,27,3,1634.0,1525,1804.0,1706,US,32,N808AW,150.0,161.0,124.0,58.0,69.0,DFW,PHX,868,5.0,21.0,0,N,0,9.0,0.0,0.0,0.0,49.0
96379,2008,2,1,5,1258.0,1150,1515.0,1420,AA,1036,N5FGAA,137.0,150.0,117.0,55.0,68.0,MIA,BWI,946,5.0,15.0,0,N,0,40.0,0.0,0.0,0.0,15.0
49587,2008,4,15,2,1752.0,1631,1924.0,1755,OO,6171,N413SW,92.0,84.0,72.0,89.0,81.0,BIL,DEN,455,8.0,12.0,0,N,0,0.0,0.0,8.0,0.0,81.0
81767,2008,5,20,2,1826.0,1720,2011.0,1845,B6,75,N534JB,105.0,85.0,43.0,86.0,66.0,SYR,JFK,209,10.0,52.0,0,N,0,0.0,0.0,86.0,0.0,0.0
117409,2008,1,21,1,1635.0,1625,1757.0,1740,9E,5762,80259E,82.0,75.0,53.0,17.0,10.0,TUL,MEM,342,8.0,21.0,0,N,0,0.0,0.0,7.0,0.0,10.0
169188,2008,3,22,6,802.0,755,1015.0,1000,WN,939,N341SW,73.0,65.0,38.0,15.0,7.0,MDW,DTW,229,10.0,25.0,0,N,0,0.0,0.0,8.0,7.0,0.0
109065,2008,2,16,6,1252.0,1220,1906.0,1827,NW,980,N359NW,254.0,247.0,224.0,39.0,32.0,SEA,MEM,1870,7.0,23.0,0,N,0,12.0,0.0,7.0,0.0,20.0
46328,2008,6,20,5,1253.0,1245,1348.0,1338,UA,1209,N455UA,55.0,53.0,30.0,10.0,8.0,EGE,DEN,121,7.0,18.0,0,N,0,,,,,
133158,2008,12,2,2,1919.0,1913,2058.0,2046,F9,147,N807FR,159.0,153.0,124.0,12.0,6.0,IAH,DEN,861,5.0,30.0,0,N,0,,,,,
48892,2008,7,13,7,1317.0,1300,1426.0,1417,XE,2443,N15973,69.0,77.0,48.0,9.0,17.0,EWR,RIC,278,3.0,18.0,0,N,0,,,,,
67900,2008,9,15,1,2012.0,1935,141.0,55,WN,991,N906WN,209.0,200.0,176.0,46.0,37.0,PHX,MDW,1444,8.0,25.0,0,N,0,3.0,0.0,9.0,0.0,34.0
16805,2008,12,9,2,1857.0,1840,2051.0,2055,WN,567,N242WN,114.0,135.0,103.0,-4.0,17.0,MCO,CMH,802,4.0,7.0,0,N,0,,,,,
122567,2008,6,12,4,1444.0,1435,1808.0,1812,XE,3048,N14972,144.0,157.0,130.0,-4.0,9.0,IAH,CLT,913,4.0,10.0,0,N,0,,,,,
23977,2008,7,18,5,2053.0,1809,2237.0,1909,OO,5961,N919SW,104.0,60.0,27.0,208.0,164.0,PIA,ORD,130,39.0,38.0,0,N,0,0.0,0.0,44.0,0.0,164.0
150291,2008,2,3,7,1450.0,1345,1629.0,1405,MQ,4506,N676AE,159.0,80.0,58.0,144.0,65.0,DTW,ORD,235,8.0,93.0,0,N,0,0.0,0.0,88.0,0.0,56.0
117208,2008,8,19,2,2024.0,1950,2130.0,2100,WN,1134,N730SW,66.0,70.0,55.0,30.0,34.0,DAL,AMA,324,4.0,7.0,0,N,0,9.0,0.0,0.0,0.0,21.0
17111,2008,4,20,7,1709.0,1652,1826.0,1818,YV,7168,N17156,77.0,86.0,61.0,8.0,17.0,IAD,CAE,401,4.0,12.0,0,N,0,,,,,
26612,2008,4,1,2,1946.0,1750,2344.0,2200,AA,586,N639AA,238.0,250.0,216.0,104.0,116.0,SJU,EWR,1608,6.0,16.0,0,N,0,104.0,0.0,0.0,0.0,0.0
70932,2008,3,26,3,1515.0,1315,1820.0,1624,NW,243,N353NW,185.0,189.0,158.0,116.0,120.0,FLL,DTW,1127,6.0,21.0,0,N,0,108.0,0.0,0.0,0.0,8.0
86222,2008,6,14,6,952.0,945,1056.0,1057,OO,6736,N907SW,64.0,72.0,48.0,-1.0,7.0,RAP,DEN,301,8.0,8.0,0,N,0,,,,,
164578,2008,11,6,4,1943.0,1930,2151.0,2133,DL,1218,N392DA,128.0,123.0,104.0,18.0,13.0,CVG,LGA,585,9.0,15.0,0,N,0,13.0,0.0,5.0,0.0,0.0
159537,2008,3,19,3,1915.0,1845,2044.0,2019,XE,11,N14558,209.0,214.0,200.0,25.0,30.0,MCI,ONT,1318,3.0,6.0,0,N,0,3.0,0.0,0.0,0.0,22.0
162419,2008,1,2,3,1313.0,1255,1453.0,1505,MQ,3648,N513AE,160.0,190.0,145.0,-12.0,18.0,PIT,DFW,1068,7.0,8.0,0,N,0,,,,,
193968,2008,2,18,1,1915.0,1650,2215.0,2020,OO,2880,N479CA,120.0,150.0,100.0,115.0,145.0,MKE,EWR,725,6.0,14.0,0,N,0,0.0,0.0,115.0,0.0,0.0
186738,2008,11,21,5,1840.0,1804,2107.0,2040,DL,849,N659DL,147.0,156.0,109.0,27.0,36.0,EWR,ATL,745,16.0,22.0,0,N,0,9.0,0.0,0.0,0.0,18.0
160262,2008,1,15,2,1137.0,1125,1217.0,1215,EV,4719,N979EV,40.0,50.0,26.0,2.0,12.0,CHA,ATL,106,7.0,7.0,0,N,0,,,,,
22296,2008,8,21,4,1041.0,1000,1154.0,1100,AA,1119,N4WAAA,73.0,60.0,42.0,54.0,41.0,AUS,DFW,190,13.0,18.0,0,N,0,41.0,0.0,13.0,0.0,0.0
1176,2008,1,22,2,2000.0,1945,2054.0,2045,9E,5702,80019E,54.0,60.0,36.0,9.0,15.0,MEM,HSV,184,4.0,14.0,0,N,0,,,,,
78556,2008,6,10,2,1006.0,1000,1126.0,1120,WN,3133,N390SW,80.0,80.0,66.0,6.0,6.0,HOU,MAF,441,2.0,12.0,0,N,0,,,,,
85006,2008,7,28,1,2248.0,1750,2327.0,1830,MQ,4012,N905JH,99.0,100.0,70.0,297.0,298.0,PIT,ORD,412,3.0,26.0,0,N,0,0.0,0.0,0.0,0.0,297.0
138313,2008,4,17,4,1027.0,1020,1151.0,1145,WN,12,N365SW,84.0,85.0,70.0,6.0,7.0,DAL,MCI,461,3.0,11.0,0,N,0,,,,,
71960,2008,6,5,4,957.0,940,1334.0,1325,AA,1549,N638AA,277.0,285.0,261.0,9.0,17.0,SJU,DFW,2165,8.0,8.0,0,N,0,,,,,
183249,2008,12,18,4,1127.0,1110,1709.0,1725,WN,3431,N260WN,222.0,255.0,205.0,-16.0,17.0,PHX,BWI,1999,5.0,12.0,0,N,0,,,,,
32316,2008,7,30,3,1709.0,1555,1815.0,1705,WN,283,N734SA,66.0,70.0,56.0,70.0,74.0,ISP,BWI,220,3.0,7.0,0,N,0,5.0,0.0,0.0,0.0,65.0
161710,2008,11,29,6,937.0,905,1141.0,1109,XE,2916,N21130,124.0,124.0,106.0,32.0,32.0,IAH,OMA,781,4.0,14.0,0,N,0,0.0,0.0,0.0,0.0,32.0
195918,2008,3,30,7,723.0,715,808.0,817,XE,500,N17196,105.0,122.0,89.0,-9.0,8.0,SAT,ABQ,609,6.0,10.0,0,N,0,,,,,
151181,2008,7,19,6,1210.0,1200,1308.0,1300,XE,2826,N13929,58.0,60.0,41.0,8.0,10.0,IAH,DAL,217,6.0,11.0,0,N,0,,,,,
75937,2008,1,21,1,625.0,615,833.0,840,US,1660,N182UW,128.0,145.0,115.0,-7.0,10.0,MCO,PHL,861,2.0,11.0,0,N,0,,,,,
11926,2008,6,19,4,724.0,715,931.0,934,NW,1522,N1309T,67.0,79.0,49.0,-3.0,9.0,MSN,DTW,312,10.0,8.0,0,N,0,,,,,
195624,2008,9,29,1,1751.0,1710,2026.0,1950,AA,2293,N453AA,155.0,160.0,135.0,36.0,41.0,ORD,AUS,978,3.0,17.0,0,N,0,0.0,0.0,8.0,0.0,28.0
43815,2008,9,16,2,1200.0,1030,1259.0,1135,9E,5675,89079E,59.0,65.0,37.0,84.0,90.0,MSP,GRB,252,4.0,18.0,0,N,0,84.0,0.0,0.0,0.0,0.0
107907,2008,12,11,4,1301.0,1235,1859.0,1846,CO,366,N71411,238.0,251.0,206.0,13.0,26.0,SEA,IAH,1874,13.0,19.0,0,N,0,,,,,
157928,2008,11,13,4,1335.0,1235,2036.0,1923,B6,178,N597JB,301.0,288.0,279.0,73.0,60.0,PHX,JFK,2153,9.0,13.0,0,N,0,0.0,0.0,73.0,0.0,0.0
189774,2008,6,30,1,1714.0,1700,1809.0,1815,US,2183,N762US,55.0,75.0,43.0,-6.0,14.0,LGA,DCA,214,3.0,9.0,0,N,0,,,,,
43729,2008,12,15,1,1351.0,1240,1507.0,1400,MQ,4188,N935MQ,136.0,140.0,111.0,67.0,71.0,RIC,ORD,642,14.0,11.0,0,N,0,0.0,0.0,0.0,0.0,67.0
109902,2008,1,19,6,2006.0,1915,2036.0,1954,OO,6659,N715SK,30.0,39.0,14.0,42.0,51.0,DEN,COS,72,6.0,10.0,0,N,0,42.0,0.0,0.0,0.0,0.0
161723,2008,3,11,2,2047.0,2000,2129.0,2057,US,1627,N717UW,42.0,57.0,28.0,32.0,47.0,CLT,RDU,130,4.0,10.0,0,N,0,0.0,0.0,0.0,0.0,32.0
111096,2008,8,18,1,2222.0,2000,13.0,2239,XE,2393,N15509,111.0,159.0,87.0,94.0,142.0,EWR,TYS,631,5.0,19.0,0,N,0,0.0,0.0,0.0,0.0,94.0
72985,2008,5,4,7,1754.0,1704,1848.0,1808,NW,1412,N9339,54.0,64.0,35.0,40.0,50.0,DTW,PIT,201,6.0,13.0,0,N,0,3.0,0.0,0.0,0.0,37.0
160142,2008,7,17,4,2200.0,2100,4.0,2341,DL,639,N3752,304.0,341.0,258.0,23.0,60.0,JFK,PHX,2153,23.0,23.0,0,N,0,19.0,0.0,0.0,0.0,4.0
19341,2008,12,10,3,925.0,905,1126.0,1111,B6,1223,N190JB,121.0,126.0,100.0,15.0,20.0,BOS,RDU,612,1.0,20.0,0,N,0,10.0,0.0,0.0,0.0,5.0
77374,2008,1,22,2,724.0,715,837.0,832,XE,2891,N14930,73.0,77.0,55.0,5.0,9.0,IAH,JAN,351,4.0,14.0,0,N,0,,,,,
117426,2008,10,16,4,810.0,535,939.0,635,XE,2102,N16944,89.0,60.0,68.0,184.0,155.0,MLU,IAH,262,9.0,12.0,0,N,0,155.0,0.0,29.0,0.0,0.0
131727,2008,9,10,3,1944.0,1935,2238.0,2235,WN,128,N682SW,174.0,180.0,160.0,3.0,9.0,TPA,MHT,1204,3.0,11.0,0,N,0,,,,,
97574,2008,10,28,2,2114.0,1959,2252.0,2206,NW,527,N516US,98.0,127.0,75.0,46.0,75.0,LGA,DTW,501,9.0,14.0,0,N,0,0.0,0.0,0.0,0.0,46.0
53449,2008,7,31,4,849.0,842,1051.0,1050,UA,1556,N406UA,122.0,128.0,103.0,1.0,7.0,MCO,IAD,758,4.0,15.0,0,N,0,,,,,
77150,2008,8,2,6,1019.0,1009,1132.0,1130,NW,134,N670MC,73.0,81.0,50.0,2.0,10.0,MSP,ORD,334,7.0,16.0,0,N,0,,,,,
72268,2008,11,8,6,1932.0,1850,2313.0,2208,NW,855,N320NB,161.0,138.0,114.0,65.0,42.0,MSP,CLT,930,4.0,43.0,0,N,0,42.0,0.0,23.0,0.0,0.0
115280,2008,12,1,1,1843.0,1745,1934.0,1835,WN,2713,N612SW,111.0,110.0,87.0,59.0,58.0,ELP,LAS,584,12.0,12.0,0,N,0,0.0,0.0,5.0,0.0,54.0
145870,2008,6,25,3,836.0,826,1119.0,1110,F9,852,N803FR,103.0,104.0,85.0,9.0,10.0,PHX,DEN,602,8.0,10.0,0,N,0,,,,,
123222,2008,9,27,6,1715.0,1620,1910.0,1836,NW,896,N767NC,115.0,136.0,80.0,34.0,55.0,JFK,DTW,508,7.0,28.0,0,N,0,2.0,0.0,0.0,0.0,32.0
43221,2008,7,31,4,1521.0,1512,1554.0,1546,HA,161,N477HA,33.0,34.0,22.0,8.0,9.0,OGG,HNL,100,5.0,6.0,0,N,0,,,,,
19925,2008,4,14,1,1058.0,1050,1158.0,1155,MQ,3660,N524AE,60.0,65.0,45.0,3.0,8.0,LBB,DFW,282,6.0,9.0,0,N,0,,,,,
148985,2008,6,28,6,1406.0,1355,1559.0,1547,DL,995,N979DL,113.0,112.0,88.0,12.0,11.0,ATL,MIA,595,6.0,19.0,0,N,0,,,,,
168434,2008,10,7,2,1003.0,950,1128.0,1117,DL,878,N646DL,85.0,87.0,50.0,11.0,13.0,ATL,RDU,356,8.0,27.0,0,N,0,,,,,
110383,2008,2,4,1,1750.0,1650,1905.0,1750,9E,2868,89249E,75.0,60.0,34.0,75.0,60.0,CWA,MSP,175,12.0,29.0,0,N,0,0.0,0.0,15.0,0.0,60.0
107779,2008,12,30,2,824.0,815,1334.0,1345,WN,900,N759GS,190.0,210.0,175.0,-11.0,9.0,DEN,MCO,1545,6.0,9.0,0,N,0,,,,,
46067,2008,3,23,7,1926.0,1920,2058.0,2059,9E,5780,80249E,92.0,99.0,68.0,-1.0,6.0,MEM,OKC,432,3.0,21.0,0,N,0,,,,,
9729,2008,12,23,2,1235.0,1155,1343.0,1305,MQ,4620,N802MQ,68.0,70.0,43.0,38.0,40.0,JFK,BOS,187,4.0,21.0,0,N,0,25.0,0.0,0.0,0.0,13.0
156594,2008,8,26,2,1418.0,1410,1624.0,1610,AA,1019,N3CBAA,246.0,240.0,224.0,14.0,8.0,DFW,SEA,1660,5.0,17.0,0,N,0,,,,,
82142,2008,3,25,2,1131.0,1043,1321.0,1240,YV,7327,N75995,50.0,57.0,35.0,41.0,48.0,ORD,LAN,179,1.0,14.0,0,N,0,41.0,0.0,0.0,0.0,0.0
27530,2008,12,8,1,1027.0,925,1145.0,1052,9E,2276,86949E,78.0,87.0,59.0,53.0,62.0,MEM,PFN,417,3.0,16.0,0,N,0,53.0,0.0,0.0,0.0,0.0
170694,2008,3,8,6,1529.0,1220,1756.0,1459,EV,4196,N881AS,87.0,99.0,67.0,177.0,189.0,AEX,ATL,500,12.0,8.0,0,N,0,0.0,177.0,0.0,0.0,0.0
36974,2008,2,2,6,1713.0,1700,1935.0,1928,UA,943,N664UA,262.0,268.0,238.0,7.0,13.0,ORD,LAX,1745,6.0,18.0,0,N,0,,,,,
79809,2008,12,9,2,635.0,600,742.0,720,MQ,4602,N804MQ,67.0,80.0,43.0,22.0,35.0,BOS,JFK,187,10.0,14.0,0,N,0,22.0,0.0,0.0,0.0,0.0
